name,steam_appid,required_age,legal_notice,platforms,categories,genres,recommendations,achievements,release_date,price,english,developer,publisher
Angels of Death,537110,0,"© Makoto Sanada/vaka, Inc.",windows,Single-player;Steam Trading Cards;Partial Controller Support;Family Sharing,Adventure;Indie;RPG,{'total': 4127},0,2016-12-19,9.99,1,Vaka Game Magazine;Makoto Sanada,Vaka Game Magazine
The Legend of Heroes: Trails of Cold Steel,538680,13,"(c) Nihon Falcom Corporation. All rights reserved.<br />
Licensed to and published by XSEED Games / Marvelous USA, Inc.",windows,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards;Family Sharing,RPG,{'total': 4485},51,2017-08-02,39.99,1,Nihon Falcom,"XSEED Games;Marvelous USA, Inc."
Razortron 2000,539720,0,,windows,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards;Family Sharing,Casual;Indie;Racing,{'total': 1661},9,2016-10-12,4.99,1,NukGames,NukGames
Final Quest II,540020,0,,windows,Steam Achievements;Steam Trading Cards;Partial Controller Support;Family Sharing,Indie;RPG,,7,2016-10-18,1.99,1,RPG Video,Back To Basics Gaming
GTTOD: Get To The Orange Door,541200,0,,windows,Single-player;Steam Achievements;Captions available;Family Sharing,Action;Adventure;Indie;Early Access,{'total': 2823},28,2017-10-27,19.99,1,Andrew Smith,Hitcents
Slingshot people,542340,0,2016 GerichCorp.,windows,Single-player;Steam Trading Cards;Stats;Commentary available;Family Sharing,Action;Casual;Indie;Simulation,{'total': 134},0,2016-10-21,0.99,1,StalkerAlex,StalkerAlex.
Stationeers,544550,0,© RocketWerkz Studios Ltd,windows,Single-player;Multi-player;Co-op;Online Co-op;LAN Co-op;Steam Achievements;Steam Workshop;Partial Controller Support;Steam Cloud;Family Sharing,Action;Indie;Simulation;Early Access,{'total': 5621},4,2017-12-12,34.99,1,RocketWerkz,RocketWerkz
Brief Karate Foolish,546390,0,,windows,Single-player;Multi-player;PvP;Shared/Split Screen PvP;Shared/Split Screen;Partial Controller Support,Action;Casual;Free to Play;Indie,,0,2016-11-18,0.0,1,D.C.S,Henteko Doujin
art of rally,550320,0,© Funselektor 2023,windows;mac;linux,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Stats;Steam Leaderboards;Family Sharing,Action;Indie;Racing;Simulation;Sports,{'total': 4124},43,2020-09-23,24.99,1,Funselektor Labs Inc.,Funselektor Labs Inc.
Midas Gold Plus,557400,0,,windows;mac,Single-player;Steam Achievements;Steam Trading Cards;In-App Purchases;Steam Cloud;Steam Leaderboards,Adventure;Casual;Free to Play;Indie;RPG;Simulation,{'total': 300},23,2017-02-01,0.0,1,Holyday Studios,Holyday Studios
